#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_14_length_141848_cov_26.562181	57628	58251	+	rcsA	1-624/624	===============	0/0	100.00	100.00	vfdb	WP_002911561	(rcsA) transcriptional activator for ctr capsule biosynthesis [RcsAB (VF0571) - Regulation (VFC0301)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_14_length_141848_cov_26.562181	112818	114122	-	ybtS	1-1305/1305	===============	0/0	100.00	97.62	vfdb	WP_000703040	(ybtS) salicylate synthase Irp9 [Yersiniabactin (VF0136) - Nutritional/Metabolic factor (VFC0272)] [Yersinia pestis CO92]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_14_length_141848_cov_26.562181	114150	115430	-	ybtX	1-1281/1281	===============	0/0	100.00	97.66	vfdb	WP_001286280	(ybtX) putative signal transducer [Yersiniabactin (VF0136) - Nutritional/Metabolic factor (VFC0272)] [Yersinia pestis CO92]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_14_length_141848_cov_26.562181	115423	117225	-	ybtQ	1-1803/1803	===============	0/0	100.00	99.78	vfdb	WP_002212761	(ybtQ) yersiniabactin ABC transporter ATP-binding/permease protein YbtQ [Yersiniabactin (VF0136) - Nutritional/Metabolic factor (VFC0272)] [Yersinia pestis CO92]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_14_length_141848_cov_26.562181	117212	118924	-	ybtP	1-1713/1713	===============	0/0	100.00	99.65	vfdb	WP_001327262	(ybtP) yersiniabactin ABC transporter ATP-binding/permease protein YbtP [Ybt (VF0564) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_14_length_141848_cov_26.562181	119181	120140	+	ybtA	1-960/960	===============	0/0	100.00	99.90	vfdb	WP_000140406	(ybtA) transcriptional regulator YbtA [Yersiniabactin (VF0136) - Nutritional/Metabolic factor (VFC0272)] [Yersinia pestis CO92]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_14_length_141848_cov_26.562181	120331	126438	+	irp2	1-6108/6108	===============	0/0	100.00	99.74	vfdb	WP_002212775	(irp2) yersiniabactin biosynthetic protein Irp2 [Yersiniabactin (VF0136) - Nutritional/Metabolic factor (VFC0272)] [Yersinia pestis CO92]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_14_length_141848_cov_26.562181	126526	136017	+	irp1	1-9492/9492	===============	0/0	100.00	99.82	vfdb	WP_002212777	(irp1) yersiniabactin biosynthetic protein Irp1 [Yersiniabactin (VF0136) - Nutritional/Metabolic factor (VFC0272)] [Yersinia pestis CO92]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_14_length_141848_cov_26.562181	136014	137114	+	ybtU	1-1101/1101	===============	0/0	100.00	99.73	vfdb	WP_000982866	(ybtU) yersiniabactin biosynthetic protein YbtU [Yersiniabactin (VF0136) - Nutritional/Metabolic factor (VFC0272)] [Yersinia pestis CO92]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_14_length_141848_cov_26.562181	137111	137914	+	ybtT	1-804/804	===============	0/0	100.00	99.63	vfdb	WP_002212799	(ybtT) type II thioesterase YbtT [Yersiniabactin (VF0136) - Nutritional/Metabolic factor (VFC0272)] [Yersinia pestis CO92]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_14_length_141848_cov_26.562181	137918	139495	+	ybtE	1-1578/1578	===============	0/0	100.00	99.81	vfdb	WP_001088826	(ybtE) yersiniabactin siderophore biosynthetic protein [Yersiniabactin (VF0136) - Nutritional/Metabolic factor (VFC0272)] [Yersinia pestis CO92]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_14_length_141848_cov_26.562181	139626	141647	+	fyuA/psn	1-2022/2022	===============	0/0	100.00	99.95	vfdb	WP_002212885	(fyuA/psn) pesticin/yersiniabactin receptor protein [Yersiniabactin (VF0136) - Nutritional/Metabolic factor (VFC0272)] [Yersinia pestis CO92]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_15_length_127836_cov_28.028280	28032	28501	-	entD	1-470/630	============...	0/0	74.60	99.15	vfdb	WP_004183335	(entD) enterochelin synthetase component D [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_15_length_127836_cov_28.028280	28568	30796	-	fepA	1-2229/2229	===============	0/0	100.00	96.99	vfdb	WP_012737617	(fepA) outer membrane receptor FepA [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_15_length_127836_cov_28.028280	31056	32264	+	fes	1-1209/1209	===============	0/0	100.00	99.42	vfdb	WP_012737618	(fes) enterobactin/ferric enterobactin esterase [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_15_length_127836_cov_28.028280	32506	36387	+	entF	1-3882/3882	===============	0/0	100.00	99.00	vfdb	WP_012737619	(entF) enterobactin synthase subunit F [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_15_length_127836_cov_28.028280	36452	37246	-	fepC	1-795/795	===============	0/0	100.00	99.75	vfdb	WP_002893737	(fepC) iron-enterobactin transporter ATP-binding protein [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_15_length_127836_cov_28.028280	37243	38235	-	fepG	1-993/993	===============	0/0	100.00	98.89	vfdb	WP_004147521	(fepG) iron-enterobactin transporter permease [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_15_length_127836_cov_28.028280	38232	39239	-	fepD	1-1008/1008	===============	0/0	100.00	99.70	vfdb	WP_004176917	(fepD) iron-enterobactin transporter membrane protein [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_15_length_127836_cov_28.028280	39352	40593	+	entS	1-1242/1242	===============	0/0	100.00	99.76	vfdb	WP_004147525	(entS) enterobactin exporter EntS [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_15_length_127836_cov_28.028280	41071	42030	-	fepB	1-960/960	===============	0/0	100.00	99.58	vfdb	WP_012737621	(fepB) iron-enterobactin transporter periplasmic binding protein [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_15_length_127836_cov_28.028280	42219	43394	+	entC	1-1176/1176	===============	0/0	100.00	99.49	vfdb	WP_014907941	(entC) isochorismate synthase [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_15_length_127836_cov_28.028280	43404	45011	+	entE	1-1608/1608	===============	0/0	100.00	98.20	vfdb	WP_004183353	(entE) enterobactin synthase subunit E [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_15_length_127836_cov_28.028280	45025	45876	+	entB	1-852/852	===============	0/0	100.00	98.47	vfdb	WP_004210873	(entB) 23-dihydro-23-dihydroxybenzoate synthetase isochroismatase [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_15_length_127836_cov_28.028280	45885	46631	+	entA	1-747/747	===============	0/0	100.00	96.52	vfdb	WP_086074289	(entA) 23-dihydroxybenzoate-23-dehydrogenase [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_16_length_121251_cov_33.090242	59897	60577	+	rpoN	814-1494/1494	.......=/======	2/2	45.52	68.18	vfdb	NP_253152	(rpoN) RNA polymerase factor sigma-54 [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas aeruginosa PAO1]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_16_length_121251_cov_33.090242	83661	84142	+	algW	316-791/1170	...=====/==....	9/20	40.09	67.48	vfdb	NP_253136	(algW) AlgW protein [Alginate (VF0091) - Biofilm (VFC0271)] [Pseudomonas aeruginosa PAO1]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_16_length_121251_cov_33.090242	115973	116945	+	acrA	141-1125/1194	.=======/======	6/22	81.07	70.20	vfdb	WP_004177236	(acrA) acriflavine resistance protein A [AcrAB (VF0568) - Antimicrobial activity/Competitive advantage (VFC0325)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_16_length_121251_cov_33.090242	116991	120084	+	acrB	1-3097/3147	========/======	7/11	98.19	75.62	vfdb	WP_002892069	(acrB) acriflavine resistance protein B [AcrAB (VF0568) - Antimicrobial activity/Competitive advantage (VFC0325)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_171_length_489_cov_57.565534	1	489	-	vipB/tssC	1041-1529/1545	..........=====	0/0	31.65	100.00	vfdb	WP_014907727	(vipB/tssC) type VI secretion system contractile sheath large subunit VipB [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_17_length_119514_cov_28.719752	83727	84221	-	fleQ	499-993/1473	....====/==....	5/12	33.20	67.86	vfdb	NP_249788	(fleQ) transcriptional regulator FleQ [Flagella (VF0273) - Motility (VFC0204)] [Pseudomonas aeruginosa PAO1]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_180_length_472_cov_1.278481	1	316	-	fliP	61-376/738	.=======/......	2/4	42.55	83.33	vfdb	WP_013097738	(fliP) flagellar type III secretion system pore protein FliP [Flagella (VF1400) - Motility (VFC0204)] [Enterobacter cloacae strain M12X01451]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_19_length_99576_cov_34.968764	12018	12485	-	fleQ	504-971/1473	....====/==....	4/8	31.50	67.80	vfdb	NP_249788	(fleQ) transcriptional regulator FleQ [Flagella (VF0273) - Motility (VFC0204)] [Pseudomonas aeruginosa PAO1]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_1_length_354371_cov_30.299483	97186	97890	+	mrkH	1-705/705	===============	0/0	100.00	99.86	vfdb	WP_004152886	(mrkH) transcriptional activator [Type 3 fimbriae (VF0567) - Biofilm (VFC0271)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_1_length_354371_cov_30.299483	97908	98480	+	mrkI	1-573/573	===============	0/0	100.00	99.30	vfdb	WP_002916079	(mrkI) LuxR family regulatory protein [Type 3 fimbriae (VF0567) - Biofilm (VFC0271)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_1_length_354371_cov_30.299483	98624	99340	+	mrkJ	1-717/717	===============	0/0	100.00	99.44	vfdb	WP_004149658	(mrkJ) phosphodiesterase [Type 3 fimbriae (VF0567) - Biofilm (VFC0271)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_1_length_354371_cov_30.299483	99375	100010	-	mrkF	1-636/636	===============	0/0	100.00	99.69	vfdb	WP_002916122	(mrkF) type 3 fimbrial minor pilin subunit MrkF [Type 3 fimbriae (VF0567) - Biofilm (VFC0271)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_1_length_354371_cov_30.299483	100024	101019	-	mrkD	1-996/996	===============	0/0	100.00	99.70	vfdb	WP_004149659	(mrkD) fimbrial adhesin protein precursor MrkD [Type 3 fimbriae (VF0567) - Biofilm (VFC0271)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_1_length_354371_cov_30.299483	101010	103496	-	mrkC	1-2487/2487	===============	0/0	100.00	99.68	vfdb	WP_000813718	(mrkC) fimbrial biogenesis outer membrane usher protein mrkC precursor [Type 3 fimbriae (VF0567) - Biofilm (VFC0271)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_1_length_354371_cov_30.299483	103508	104209	-	mrkB	1-702/702	===============	0/0	100.00	99.86	vfdb	WP_000820818	(mrkB) fimbrial chaperone protein mrkB precursor [Type 3 fimbriae (VF0567) - Biofilm (VFC0271)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_1_length_354371_cov_30.299483	104305	104913	-	mrkA	1-609/609	===============	0/0	100.00	99.67	vfdb	WP_000756959	(mrkA) type 3 fimbrial major pilin subunit MrkA [Type 3 fimbriae (VF0567) - Biofilm (VFC0271)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_1_length_354371_cov_30.299483	109579	110184	+	fimB	1-606/606	===============	0/0	100.00	99.17	vfdb	WP_015875142	(fimB) tyrosine recombinase [Type I fimbriae (VF0566) - Adherence (VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_1_length_354371_cov_30.299483	110650	111258	+	fimE	1-609/609	===============	0/0	100.00	99.34	vfdb	WP_002916189	(fimE) tyrosine recombinase [Type I fimbriae (VF0566) - Adherence (VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_1_length_354371_cov_30.299483	111739	112287	+	fimA	1-549/549	===============	0/0	100.00	99.82	vfdb	WP_002916190	(fimA) type 1 major fimbrial subunit precursor [Type I fimbriae (VF0566) - Adherence (VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_1_length_354371_cov_30.299483	112358	112894	+	fimI	1-537/537	===============	0/0	100.00	99.63	vfdb	WP_004174507	(fimI) type 1 pilus biosynthesis fimbrial protein [Type I fimbriae (VF0566) - Adherence (VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_1_length_354371_cov_30.299483	112923	113648	+	fimC	1-726/726	===============	0/0	100.00	99.72	vfdb	WP_015875145	(fimC) periplasmic chaperone [Type I fimbriae (VF0566) - Adherence (VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_1_length_354371_cov_30.299483	113730	116342	+	fimD	1-2613/2613	===============	0/0	100.00	99.43	vfdb	WP_009308599	(fimD) outer membrane usher protein  [Type I fimbriae (VF0566) - Adherence (VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_1_length_354371_cov_30.299483	116353	116880	+	fimF	1-528/528	===============	0/0	100.00	98.86	vfdb	WP_014906962	(fimF) type 1 fimbrial minor component [Type I fimbriae (VF0566) - Adherence (VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_1_length_354371_cov_30.299483	116908	117393	+	fimG	1-486/486	===============	0/0	100.00	99.59	vfdb	WP_014906961	(fimG) type 1 fimbrial minor component [Type I fimbriae (VF0566) - Adherence (VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
